Month;Value
2005-01;81
2005-02;76,4
2005-03;88
2005-04;87
2005-05;91,1
2005-06;91,4
2005-07;90,5
2005-08;95,6
2005-09;92
2005-10;93,7
2005-11;92,4
2005-12;86,6
2006-01;83,7
2006-02;80,2
2006-03;92,4
2006-04;85,7
2006-05;95,4
2006-06;91,1
2006-07;93,8
2006-08;98,6
2006-09;93,2
2006-10;97,5
2006-11;95,9
2006-12;87
2007-01;87
2007-02;82,6
2007-03;96,4
2007-04;90,6
2007-05;99,9
2007-06;96,9
2007-07;99,8
2007-08;104,9
2007-09;98,4
2007-10;107,8
2007-11;102,4
2007-12;92,6
2008-01;94,8
2008-02;91,1
2008-03;97,7
2008-04;99,2
2008-05;102,5
2008-06;103,3
2008-07;108,5
2008-08;106,9
2008-09;107,3
2008-10;108,4
2008-11;96,2
2008-12;79,1
2009-01;78,7
2009-02;76,1
2009-03;88,6
2009-04;85,2
2009-05;91,3
2009-06;92,2
2009-07;97,7
2009-08;99,6
2009-09;99,4
2009-10;105,6
2009-11;101,4
2009-12;94,1
2010-01;91,2
2010-02;89
2010-03;105,1
2010-04;99,3
2010-05;104,3
2010-06;102,5
2010-07;106,9
2010-08;108,1
2010-09;105,8
2010-10;107,7
2010-11;106,8
2010-12;96,6
2011-01;93,2
2011-02;95,4
2011-03;104,4
2011-04;97,5
2011-05;107,1
2011-06;102,8
2011-07;106,1
2011-08;110,8
2011-09;104,8
2011-10;106,3
2011-11;104,2
2011-12;95,7
2012-01;88,7
2012-02;89,8
2012-03;99,7
2012-04;92,8
2012-05;102,5
2012-06;98,3
2012-07;104,5
2012-08;111,5
2012-09;103,4
2012-10;111,8
2012-11;104,8
2012-12;92,2
2013-01;94,5
2013-02;88,1
2013-03;97,7
2013-04;101,8
2013-05;105
2013-06;101,7
2013-07;108
2013-08;112
2013-09;107,3
2013-10;112,6
2013-11;106,1
2013-12;90,1
2014-01;92,6
2014-02;92,3
2014-03;97,3
2014-04;96
2014-05;101,7
2014-06;94,9
2014-07;104,4
2014-08;106,3
2014-09;105,6
2014-10;109,3
2014-11;99,8
2014-12;87,7
2015-01;88,1
2015-02;83,7
2015-03;94,3
2015-04;88,8
2015-05;93,1
2015-06;92,5
2015-07;95,5
2015-08;97,6
2015-09;94,3
2015-10;97,2
2015-11;87,6
2015-12;77,2
2016-01;76,3
2016-02;75,8
2016-03;83,7
2016-04;83
2016-05;86,3
2016-06;87,7
2016-07;89,6
2016-08;93
2016-09;90,7
2016-10;90,2
2016-11;86,5
2016-12;77,2
2017-01;77,9
2017-02;75,9
2017-03;85,4
2017-04;79,3
2017-05;90,1
2017-06;88,4
2017-07;92,1
2017-08;96,7
2017-09;93
2017-10;95,1
2017-11;90,6
2017-12;81
2018-01;82,3
2018-02;77,3
2018-03;86,2
2018-04;86,5
2018-05;84,4
2018-06;91,1
2018-07;95,8
2018-08;98,2
2018-09;90,7
2018-10;95,8
2018-11;89,5
2018-12;78
2019-01;80,7
2019-02;79,1
2019-03;81
2019-04;83,3
2019-05;91
2019-06;85,8
2019-07;93,4
2019-08;96,2
2019-09;91,8
2019-10;97
2019-11;88
2019-12;76,9
